"Winning_team","Losing_team","Winning","Losing"
"Orlando Magic","Dallas Mavericks",94,87
"Portland Trail Blazers","Charlotte Hornets",105,95
"Denver Nuggets","Indiana Pacers",122,119
"Utah Jazz","Atlanta Hawks",125,119
"Boston Celtics","Detroit Pistons",128,112
"Brooklyn Nets","New York Knicks",112,85
"Toronto Raptors","Houston Rockets",116,109
"New Orleans Pelicans","Chicago Bulls",115,111
"Phoenix Suns","Minnesota Timberwolves",129,117
"Milwaukee Bucks","Oklahoma City Thunder",136,132
"Memphis Grizzlies","San Antonio Spurs",124,122
"Los Angeles Clippers","Los Angeles Lakers",114,101
"Sacramento Kings","Cleveland Cavaliers",127,120
"Washington Wizards","Dallas Mavericks",113,105
"Atlanta Hawks","Philadelphia 76ers",104,95
"Miami Heat","Charlotte Hornets",117,112
"Portland Trail Blazers","New Orleans Pelicans",106,95
"Boston Celtics","Denver Nuggets",131,112
"Orlando Magic","Phoenix Suns",114,97
"New York Knicks","Detroit Pistons",121,112
"Oklahoma City Thunder","Toronto Raptors",132,113
"San Antonio Spurs","Milwaukee Bucks",111,93
"Memphis Grizzlies","Minnesota Timberwolves",114,103
"Golden State Warriors","Cleveland Cavaliers",106,101
"Sacramento Kings","Los Angeles Lakers",120,114
"Brooklyn Nets","Los Angeles Clippers",110,95
"Washington Wizards","Utah Jazz",121,112
"Boston Celtics","Detroit Pistons",117,108
"Indiana Pacers","Toronto Raptors",118,104
"Philadelphia 76ers","Atlanta Hawks",121,109
"Miami Heat","Charlotte Hornets",132,115
"Dallas Mavericks","Portland Trail Blazers",117,112
"New Orleans Pelicans","Houston Rockets",119,106
"Oklahoma City Thunder","New York Knicks",145,135
"Minnesota Timberwolves","Cleveland Cavaliers",129,124
"Washington Wizards","Memphis Grizzlies",102,92
"Philadelphia 76ers","Utah Jazz",105,98
"Denver Nuggets","Chicago Bulls",126,103
"Sacramento Kings","Golden State Warriors",122,115
"Los Angeles Lakers","Brooklyn Nets",116,103
"Toronto Raptors","Detroit Pistons",115,111
"Charlotte Hornets","Orlando Magic",112,105
"Boston Celtics","Oklahoma City Thunder",126,122
"Miami Heat","Phoenix Suns",113,112
"Los Angeles Clippers","Houston Rockets",122,106
"Atlanta Hawks","Milwaukee Bucks",121,106
"Golden State Warriors","San Antonio Spurs",132,95
"New Orleans Pelicans","Memphis Grizzlies",113,102
"Dallas Mavericks","Los Angeles Clippers",103,101
"New York Knicks","Utah Jazz",118,111
"Portland Trail Blazers","San Antonio Spurs",117,110
"Sacramento Kings","Brooklyn Nets",153,121
"Indiana Pacers","Charlotte Hornets",125,113
"Minnesota Timberwolves","Orlando Magic",126,108
"Oklahoma City Thunder","Washington Wizards",121,120
"Boston Celtics","Atlanta Hawks",126,101
"Toronto Raptors","Miami Heat",112,104
"Milwaukee Bucks","Cleveland Cavaliers",113,98
"New Orleans Pelicans","Chicago Bulls",124,110
"Houston Rockets","Dallas Mavericks",101,92
"New York Knicks","Denver Nuggets",106,103
"Phoenix Suns","Golden State Warriors",130,119
"Brooklyn Nets","Portland Trail Blazers",109,107
"Sacramento Kings","San Antonio Spurs",130,112
"Los Angeles Clippers","Detroit Pistons",96,91
"Washington Wizards","Miami Heat",107,106
"Cleveland Cavaliers","Charlotte Hornets",132,122
"Philadelphia 76ers","Milwaukee Bucks",110,102
"Orlando Magic","Chicago Bulls",108,107
"Indiana Pacers","Houston Rockets",99,91
"Memphis Grizzlies","Oklahoma City Thunder",121,110
"Dallas Mavericks","Denver Nuggets",127,99
"Boston Celtics","New Orleans Pelicans",117,109
"Utah Jazz","Phoenix Suns",134,133
"Golden State Warriors","New York Knicks",111,101
"Los Angeles Lakers","Detroit Pistons",128,121
"Atlanta Hawks","Toronto Raptors",124,122
"Indiana Pacers","Orlando Magic",114,113
"Minnesota Timberwolves","Philadelphia 76ers",112,109
"Utah Jazz","Portland Trail Blazers",118,113
"Los Angeles Clippers","San Antonio Spurs",119,97
"Phoenix Suns","New York Knicks",116,95
"Sacramento Kings","Detroit Pistons",137,129
"Washington Wizards","Charlotte Hornets",106,102
"Brooklyn Nets","Memphis Grizzlies",127,115
"Cleveland Cavaliers","Miami Heat",113,87
"Golden State Warriors","Houston Rockets",127,120
"Denver Nuggets","Dallas Mavericks",98,97
"Los Angeles Lakers","San Antonio Spurs",123,92
"Cleveland Cavaliers","Atlanta Hawks",114,102
"Indiana Pacers","Orlando Magic",123,102
"Chicago Bulls","Boston Celtics",121,107
"Milwaukee Bucks","Portland Trail Blazers",119,111
"Minnesota Timberwolves","Miami Heat",105,101
"New Orleans Pelicans","Golden State Warriors",128,83
"New York Knicks","Oklahoma City Thunder",129,119
"Los Angeles Clippers","Utah Jazz",121,114
"Philadelphia 76ers","Brooklyn Nets",115,106
"Sacramento Kings","Memphis Grizzlies",113,109
