"Winning_team","Losing_team","Winning","Losing"
"New Orleans Pelicans","Denver Nuggets",107,88
"Chicago Bulls","Charlotte Hornets",121,91
"Indiana Pacers","Oklahoma City Thunder",121,117
"Philadelphia 76ers","Toronto Raptors",117,110
"Orlando Magic","Washington Wizards",116,109
"Boston Celtics","Utah Jazz",122,114
"Brooklyn Nets","Atlanta Hawks",124,107
"New York Knicks","Cleveland Cavaliers",130,116
"Houston Rockets","Detroit Pistons",121,115
"Memphis Grizzlies","Los Angeles Clippers",108,94
"Los Angeles Lakers","Minnesota Timberwolves",123,111
"Golden State Warriors","San Antonio Spurs",130,115
"Sacramento Kings","Portland Trail Blazers",138,114
"Phoenix Suns","Denver Nuggets",100,93
"Miami Heat","Dallas Mavericks",129,122
"New Orleans Pelicans","Los Angeles Clippers",122,114
"Toronto Raptors","Charlotte Hornets",128,108
"Brooklyn Nets","Utah Jazz",111,110
"Chicago Bulls","Memphis Grizzlies",128,107
"Portland Trail Blazers","Minnesota Timberwolves",107,105
"Atlanta Hawks","Dallas Mavericks",132,130
"New York Knicks","Washington Wizards",118,109
"Orlando Magic","Detroit Pistons",128,102
"San Antonio Spurs","Sacramento Kings",142,134
"Los Angeles Lakers","Houston Rockets",134,109
"Phoenix Suns","Oklahoma City Thunder",128,118
"Cleveland Cavaliers","Indiana Pacers",115,105
"Milwaukee Bucks","Philadelphia 76ers",117,104
"Denver Nuggets","Golden State Warriors",112,110
"Toronto Raptors","Charlotte Hornets",120,100
"Miami Heat","Detroit Pistons",118,105
"Cleveland Cavaliers","Orlando Magic",117,113
"Milwaukee Bucks","Washington Wizards",140,128
"Minnesota Timberwolves","Brooklyn Nets",107,102
"Atlanta Hawks","Chicago Bulls",123,105
"Houston Rockets","Denver Nuggets",124,103
"Memphis Grizzlies","Portland Trail Blazers",119,109
"Sacramento Kings","New Orleans Pelicans",121,103
"Philadelphia 76ers","Boston Celtics",103,101
"Los Angeles Lakers","Utah Jazz",135,133
"Golden State Warriors","Oklahoma City Thunder",136,125
"Phoenix Suns","San Antonio Spurs",115,94
"Brooklyn Nets","Detroit Pistons",123,108
"New York Knicks","Indiana Pacers",138,129
"Atlanta Hawks","Washington Wizards",134,116
"Boston Celtics","Toronto Raptors",97,93
"Milwaukee Bucks","Chicago Bulls",105,92
"New Orleans Pelicans","Memphis Grizzlies",138,131
"Dallas Mavericks","Sacramento Kings",123,119
"Los Angeles Clippers","Los Angeles Lakers",125,118
"Cleveland Cavaliers","Orlando Magic",118,94
"Miami Heat","Philadelphia 76ers",129,101
"San Antonio Spurs","Portland Trail Blazers",129,127
"Oklahoma City Thunder","Utah Jazz",114,98
"Phoenix Suns","Denver Nuggets",119,115
"Houston Rockets","Charlotte Hornets",112,109
"Detroit Pistons","Indiana Pacers",122,115
"Washington Wizards","Miami Heat",114,108
"Philadelphia 76ers","Atlanta Hawks",136,131
"Boston Celtics","Toronto Raptors",121,102
"Brooklyn Nets","Orlando Magic",101,84
"Memphis Grizzlies","Milwaukee Bucks",137,114
"New Orleans Pelicans","New York Knicks",113,105
"Chicago Bulls","Dallas Mavericks",115,112
"Golden State Warriors","Sacramento Kings",119,97
"Los Angeles Lakers","Phoenix Suns",121,107
"Utah Jazz","Denver Nuggets",118,114
"Los Angeles Clippers","Portland Trail Blazers",136,125
"Minnesota Timberwolves","San Antonio Spurs",151,131
"Boston Celtics","Atlanta Hawks",120,114
"Philadelphia 76ers","Brooklyn Nets",134,105
"Chicago Bulls","Detroit Pistons",103,81
"Charlotte Hornets","Cleveland Cavaliers",106,95
"Miami Heat","Orlando Magic",123,110
"Indiana Pacers","New York Knicks",141,136
"Toronto Raptors","Milwaukee Bucks",121,105
"Houston Rockets","Washington Wizards",114,109
"San Antonio Spurs","Dallas Mavericks",138,117
"Denver Nuggets","Sacramento Kings",109,95
"Los Angeles Lakers","Utah Jazz",128,117
"Minnesota Timberwolves","New Orleans Pelicans",113,108
"Oklahoma City Thunder","Memphis Grizzlies",115,100
"Los Angeles Clippers","Phoenix Suns",119,114
"Golden State Warriors","Portland Trail Blazers",157,101
