"Date","Start (ET)","Visitor/Neutral","PTS...4","Home/Neutral","PTS...6","...7","...8","Attend.","Arena","Notes","Denver"
"Wed, Mar 22, 2023","7:00p","Denver Nuggets",118,"Washington Wizards",104,"Box Score",NA,16508,"Capital One Arena",NA,118
"Sat, Mar 25, 2023","9:00p","Milwaukee Bucks",106,"Denver Nuggets",129,"Box Score",NA,19919,"Ball Arena",NA,129
"Mon, Mar 27, 2023","9:30p","Philadelphia 76ers",111,"Denver Nuggets",116,"Box Score",NA,19781,"Ball Arena",NA,116
"Thu, Mar 30, 2023","10:00p","New Orleans Pelicans",107,"Denver Nuggets",88,"Box Score",NA,19728,"Ball Arena",NA,88
"Fri, Mar 31, 2023","10:30p","Denver Nuggets",93,"Phoenix Suns",100,"Box Score",NA,17071,"Footprint Center",NA,93
"Sun, Apr 2, 2023","8:30p","Golden State Warriors",110,"Denver Nuggets",112,"Box Score",NA,19752,"Ball Arena",NA,112
"Tue, Apr 4, 2023","8:00p","Denver Nuggets",103,"Houston Rockets",124,"Box Score",NA,16924,"Toyota Center",NA,103
"Thu, Apr 6, 2023","10:00p","Denver Nuggets",115,"Phoenix Suns",119,"Box Score",NA,17071,"Footprint Center",NA,115
"Sat, Apr 8, 2023","3:30p","Denver Nuggets",114,"Utah Jazz",118,"Box Score",NA,18206,"Vivint Arena",NA,114
"Sun, Apr 9, 2023","3:30p","Sacramento Kings",95,"Denver Nuggets",109,"Box Score",NA,19652,"Ball Arena",NA,109
